"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_LOA_CF25_003_1_081_1","OMNR_LOA_CF25_003_1","Ontario","OMNR","Lake trout",81,"",1,907,8300,"D","",NA,NA,NA,"25",0,0,0,0,0,0,0,0,1
"OMNR_LOA_CF25_003_1_081_4","OMNR_LOA_CF25_003_1","Ontario","OMNR","Lake trout",81,"",1,682,3300,"D","",NA,NA,NA,"0",0,0,0,0,1,0,0,0,0
"OMNR_LOA_CF25_003_10_081_1","OMNR_LOA_CF25_003_10","Ontario","OMNR","Lake trout",81,"",1,654,2800,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_10_081_2","OMNR_LOA_CF25_003_10","Ontario","OMNR","Lake trout",81,"",1,715,3800,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_11_081_1","OMNR_LOA_CF25_003_11","Ontario","OMNR","Lake trout",81,"",1,672,3600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_12_081_1","OMNR_LOA_CF25_003_12","Ontario","OMNR","Lake trout",81,"",1,656,3200,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_12_081_2","OMNR_LOA_CF25_003_12","Ontario","OMNR","Lake trout",81,"",1,692,3400,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_12_081_3","OMNR_LOA_CF25_003_12","Ontario","OMNR","Lake trout",81,"",1,691,3900,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_13_081_1","OMNR_LOA_CF25_003_13","Ontario","OMNR","Lake trout",81,"",1,671,3100,"D","",NA,NA,NA,"15",0,0,0,0,0,0,1,0,0
"OMNR_LOA_CF25_003_13_081_2","OMNR_LOA_CF25_003_13","Ontario","OMNR","Lake trout",81,"",1,655,2700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_13_081_3","OMNR_LOA_CF25_003_13","Ontario","OMNR","Lake trout",81,"",1,754,4700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_15_081_1","OMNR_LOA_CF25_003_15","Ontario","OMNR","Lake trout",81,"",1,637,3000,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_15_081_2","OMNR_LOA_CF25_003_15","Ontario","OMNR","Lake trout",81,"",1,686,3800,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_15_081_3","OMNR_LOA_CF25_003_15","Ontario","OMNR","Lake trout",81,"",1,659,3200,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_16_081_1","OMNR_LOA_CF25_003_16","Ontario","OMNR","Lake trout",81,"",1,645,3000,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_1","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,645,3400,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_2","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,675,3500,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_3","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,614,2400,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_4","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,743,5000,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_5","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,624,2300,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_6","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,671,3200,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_17_081_7","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,625,2800,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,1,0
"OMNR_LOA_CF25_003_17_081_8","OMNR_LOA_CF25_003_17","Ontario","OMNR","Lake trout",81,"",1,679,3400,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_18_081_1","OMNR_LOA_CF25_003_18","Ontario","OMNR","Lake trout",81,"",1,667,2700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_18_081_2","OMNR_LOA_CF25_003_18","Ontario","OMNR","Lake trout",81,"",1,575,2200,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_18_081_3","OMNR_LOA_CF25_003_18","Ontario","OMNR","Lake trout",81,"",1,646,2600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_18_081_4","OMNR_LOA_CF25_003_18","Ontario","OMNR","Lake trout",81,"",1,754,3900,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_18_081_5","OMNR_LOA_CF25_003_18","Ontario","OMNR","Lake trout",81,"",1,630,2400,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_1","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,561,2200,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_2","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,513,2100,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_3","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,800,5800,"D","",NA,NA,NA,"25",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_4","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,675,3700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_5","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,641,2600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_6","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,585,2300,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_19_081_7","OMNR_LOA_CF25_003_19","Ontario","OMNR","Lake trout",81,"",1,570,2100,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_2_081_2","OMNR_LOA_CF25_003_2","Ontario","OMNR","Lake trout",81,"",1,793,3600,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,1,0
"OMNR_LOA_CF25_003_20_081_1","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,704,3500,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_10","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,564,1900,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_2","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,715,3900,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_3","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,820,6400,"D","",NA,NA,NA,"35",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_4","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,650,2900,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_5","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,576,2000,"D","",NA,NA,NA,"35",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_6","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,594,2400,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_7","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,696,3300,"D","",NA,NA,NA,"5",1,0,0,1,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_8","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,624,3100,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_20_081_9","OMNR_LOA_CF25_003_20","Ontario","OMNR","Lake trout",81,"",1,576,2100,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_1","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,685,3500,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_2","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,702,3700,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_3","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,773,5000,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_4","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,663,3100,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_5","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,675,3700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_6","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,750,4600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_21_081_7","OMNR_LOA_CF25_003_21","Ontario","OMNR","Lake trout",81,"",1,736,3500,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_1","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,697,4700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_2","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,675,3600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,1,0
"OMNR_LOA_CF25_003_22_081_3","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,783,5500,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_4","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,791,3700,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_5","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,555,1900,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_6","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,677,3500,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_7","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,676,3200,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_22_081_8","OMNR_LOA_CF25_003_22","Ontario","OMNR","Lake trout",81,"",1,656,3200,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_1","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,644,2900,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_2","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,615,2500,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_3","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,675,3700,"D","",NA,NA,NA,"5",1,0,1,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_4","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,601,2600,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_5","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,542,1600,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_6","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,687,3600,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_23_081_7","OMNR_LOA_CF25_003_23","Ontario","OMNR","Lake trout",81,"",1,687,3000,"D","",NA,NA,NA,"15",1,0,0,1,0,0,0,0,0
"OMNR_LOA_CF25_003_24_081_1","OMNR_LOA_CF25_003_24","Ontario","OMNR","Lake trout",81,"",1,638,2000,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_24_081_2","OMNR_LOA_CF25_003_24","Ontario","OMNR","Lake trout",81,"",1,596,2500,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_24_081_3","OMNR_LOA_CF25_003_24","Ontario","OMNR","Lake trout",81,"",1,632,2800,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_24_081_4","OMNR_LOA_CF25_003_24","Ontario","OMNR","Lake trout",81,"",1,827,6500,"D","",NA,NA,NA,"15",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_24_081_5","OMNR_LOA_CF25_003_24","Ontario","OMNR","Lake trout",81,"",1,701,3700,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_25_081_1","OMNR_LOA_CF25_003_25","Ontario","OMNR","Lake trout",81,"",1,756,4700,"D","",NA,NA,NA,"5",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_25_081_2","OMNR_LOA_CF25_003_25","Ontario","OMNR","Lake trout",81,"",1,616,2600,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_25_081_3","OMNR_LOA_CF25_003_25","Ontario","OMNR","Lake trout",81,"",1,634,2800,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_25_081_4","OMNR_LOA_CF25_003_25","Ontario","OMNR","Lake trout",81,"",1,725,4600,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_25_081_5","OMNR_LOA_CF25_003_25","Ontario","OMNR","Lake trout",81,"",1,870,7900,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_26_081_1","OMNR_LOA_CF25_003_26","Ontario","OMNR","Lake trout",81,"",1,801,6900,"D","",NA,NA,NA,"45",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_26_081_2","OMNR_LOA_CF25_003_26","Ontario","OMNR","Lake trout",81,"",1,670,3400,"D","",NA,NA,NA,"35",0,0,0,0,0,0,0,0,0
"OMNR_LOA_CF25_003_26_081_3","OMNR_LOA_CF25_003_26","Ontario","OMNR","Lake trout",81,"",1,736,4500,"D","",NA,NA,NA,"0",0,0,0,0,0,0,0,0,0
