"LiftID","Lake","Agency","Location","Latitude","Longitude","MU","Grid","Year","Month","Day","SurveyType","SurveyDescription","Gear","Nights","NetMaterial","MinMeshmm","MaxMeshmm","Depth1m","Depth2m","AvgDepthm","BottomTempC","SurfaceTempC","Comments"
"OMNR_LOA_CF25_003_1","Ontario","OMNR","12",NA,NA,NA,NA,2025,5,15,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_10","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,4,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_11","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,4,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_12","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,9,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_13","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,9,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_15","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,15,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_16","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,15,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_17","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,15,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_18","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,16,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_19","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,17,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_2","Ontario","OMNR","12",NA,NA,NA,NA,2025,5,20,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_20","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,21,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMNR_LOA_CF25_003_21","Ontario","OMNR","12",NA,NA,NA,NA,2025,7,21,"Commercial Bycatch Sampling","Commercial Bycatch Sampling","Commercial Fishery (Trapnet/Gillnet)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
