"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_LOA_IA25_GL1_1_131_1","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Northern pike",131,"",102,702,2383.62,"D","","28D","F","2",NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_334_1","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Walleye",334,"",102,484,1074.59,"D","","2A","M","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_334_2","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Walleye",334,"",102,600,2163.28,"D","","2A","F","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_334_3","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Walleye",334,"",114,544,1441.15,"D","","2A","M","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_371_1","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Freshwater drum",371,"",152,536,1967.29,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_371_2","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Freshwater drum",371,"",152,567,2301.22,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_1_371_3","OMNR_LOA_IA25_GL1_1","Ontario","OMNR","Freshwater drum",371,"",152,583,2528,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_10_316_1","OMNR_LOA_IA25_GL1_10","Ontario","OMNR","Smallmouth bass",316,"",51,205,118.45,"D","","2","M","1",NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_131_1","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Northern pike",131,"",102,736,2641.03,"D","","28D","M","2",NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_334_1","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Walleye",334,"",102,509,1178.2,"D","","2A","M","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_334_2","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Walleye",334,"",102,526,1391.36,"D","","2A","F","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_334_3","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Walleye",334,"",127,601,2246.2,"D","","2A","M","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_334_4","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Walleye",334,"",127,627,2243.35,"D","","2A","F","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_334_5","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Walleye",334,"",127,572,2116.86,"D","","2A","F","2","0",0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_1","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",127,502,1642.89,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_2","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",127,522,1889.3,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_3","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",127,468,1395.3,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_10","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,479,1424.22,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_11","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,559,2425.92,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_12","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,461,1168.72,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_13","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,507,1908.85,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_4","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,503,1612.33,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_5","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,475,1301.71,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_6","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,567,2569.32,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_7","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,499,1480.85,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_8","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,463,1317.54,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_9","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",140,451,1169.51,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_14","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",152,534,1947.18,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_15","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",152,469,1456.08,"D","","2A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_16","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",152,504,1913.4,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_GL1_101_371_17","OMNR_LOA_IA25_GL1_101","Ontario","OMNR","Freshwater drum",371,"",152,447,1094.94,"D","","2A","M",NA,NA,0,0,0,0,0,0,0,0,0
