"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","CWTAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_LOA_IA25_NSA_10_317_1","OMNR_LOA_IA25_NSA_10","Ontario","OMNR","Largemouth bass",317,"",1,187,103.78,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_10_317_2","OMNR_LOA_IA25_NSA_10","Ontario","OMNR","Largemouth bass",317,"",1,170,71.16,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_10_317_3","OMNR_LOA_IA25_NSA_10","Ontario","OMNR","Largemouth bass",317,"",1,202,124.4,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_10_317_4","OMNR_LOA_IA25_NSA_10","Ontario","OMNR","Largemouth bass",317,"",1,180,98.76,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_11_317_1","OMNR_LOA_IA25_NSA_11","Ontario","OMNR","Largemouth bass",317,"",1,189,95.56,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_131_1","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Northern pike",131,"",1,765,3195.66,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_316_1","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Smallmouth bass",316,"",1,273,307.77,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_316_2","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Smallmouth bass",316,"",1,332,558.27,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_317_1","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Largemouth bass",317,"",1,225,174.24,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_317_2","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Largemouth bass",317,"",1,216,158.64,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_12_317_3","OMNR_LOA_IA25_NSA_12","Ontario","OMNR","Largemouth bass",317,"",1,205,122.03,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_13_131_1","OMNR_LOA_IA25_NSA_13","Ontario","OMNR","Northern pike",131,"",1,798,3034.64,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_13_316_1","OMNR_LOA_IA25_NSA_13","Ontario","OMNR","Smallmouth bass",316,"",1,424,1348.94,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_13_317_1","OMNR_LOA_IA25_NSA_13","Ontario","OMNR","Largemouth bass",317,"",1,198,106.82,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_13_317_2","OMNR_LOA_IA25_NSA_13","Ontario","OMNR","Largemouth bass",317,"",1,240,210.88,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_14_131_2","OMNR_LOA_IA25_NSA_14","Ontario","OMNR","Northern pike",131,"",1,698,2484.08,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_14_316_1","OMNR_LOA_IA25_NSA_14","Ontario","OMNR","Smallmouth bass",316,"",1,473,2190.22,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_14_317_1","OMNR_LOA_IA25_NSA_14","Ontario","OMNR","Largemouth bass",317,"",1,442,1292.89,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_15_131_1","OMNR_LOA_IA25_NSA_15","Ontario","OMNR","Northern pike",131,"",1,633,1653.96,"D","","28D","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_15_131_2","OMNR_LOA_IA25_NSA_15","Ontario","OMNR","Northern pike",131,"",1,575,1264.36,"D","","28D","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_15_131_3","OMNR_LOA_IA25_NSA_15","Ontario","OMNR","Northern pike",131,"",1,610,1474.25,"D","","28D","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_15_316_1","OMNR_LOA_IA25_NSA_15","Ontario","OMNR","Smallmouth bass",316,"",1,302,395.73,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_16_131_2","OMNR_LOA_IA25_NSA_16","Ontario","OMNR","Northern pike",131,"",1,683,2030,"D","","8",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_16_131_3","OMNR_LOA_IA25_NSA_16","Ontario","OMNR","Northern pike",131,"",1,825,3779.99,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_16_131_4","OMNR_LOA_IA25_NSA_16","Ontario","OMNR","Northern pike",131,"",1,740,2611.37,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_16_316_1","OMNR_LOA_IA25_NSA_16","Ontario","OMNR","Smallmouth bass",316,"",1,436,1413.97,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_16_317_1","OMNR_LOA_IA25_NSA_16","Ontario","OMNR","Largemouth bass",317,"",1,215,153.66,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_17_131_1","OMNR_LOA_IA25_NSA_17","Ontario","OMNR","Northern pike",131,"",1,855,4123.53,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_18_131_3","OMNR_LOA_IA25_NSA_18","Ontario","OMNR","Northern pike",131,"",1,795,2986.36,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_18_131_4","OMNR_LOA_IA25_NSA_18","Ontario","OMNR","Northern pike",131,"",1,779,2837.75,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_18_317_1","OMNR_LOA_IA25_NSA_18","Ontario","OMNR","Largemouth bass",317,"",1,202,120.05,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_18_317_2","OMNR_LOA_IA25_NSA_18","Ontario","OMNR","Largemouth bass",317,"",1,207,139.86,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_18_317_3","OMNR_LOA_IA25_NSA_18","Ontario","OMNR","Largemouth bass",317,"",1,188,97.68,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_131_1","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Northern pike",131,"",1,719.42725,1980,"D","","8",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_131_2","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Northern pike",131,"",1,832,3521.03,"D","","2D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_317_1","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Largemouth bass",317,"",1,200,122.43,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_317_2","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Largemouth bass",317,"",1,170,73.79,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_317_3","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Largemouth bass",317,"",1,156,60.76,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_19_317_4","OMNR_LOA_IA25_NSA_19","Ontario","OMNR","Largemouth bass",317,"",1,172,75.44,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_2_131_1","OMNR_LOA_IA25_NSA_2","Ontario","OMNR","Northern pike",131,"",1,881,5051.79,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_2_316_1","OMNR_LOA_IA25_NSA_2","Ontario","OMNR","Smallmouth bass",316,"",1,264,263.2,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_131_1","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Northern pike",131,"",1,814,3041.7,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_131_2","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Northern pike",131,"",1,835,3324.33,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_317_1","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Largemouth bass",317,"",1,223,174.47,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_317_2","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Largemouth bass",317,"",1,177,71.76,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_317_3","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Largemouth bass",317,"",1,182,87.26,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_20_317_4","OMNR_LOA_IA25_NSA_20","Ontario","OMNR","Largemouth bass",317,"",1,174,75.34,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_22_131_2","OMNR_LOA_IA25_NSA_22","Ontario","OMNR","Northern pike",131,"",1,750,2321.84,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_22_131_3","OMNR_LOA_IA25_NSA_22","Ontario","OMNR","Northern pike",131,"",1,760,3136.55,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_22_131_4","OMNR_LOA_IA25_NSA_22","Ontario","OMNR","Northern pike",131,"",1,793,3547.84,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_22_316_1","OMNR_LOA_IA25_NSA_22","Ontario","OMNR","Smallmouth bass",316,"",1,286,347.1,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_NSA_23_131_1","OMNR_LOA_IA25_NSA_23","Ontario","OMNR","Northern pike",131,"",1,562.98025,1150,"D","","8",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
