"LiftID","Lake","Agency","Location","Latitude","Longitude","MU","Grid","Year","Month","Day","SurveyType","SurveyDescription","Gear","Nights","NetMaterial","MinMeshmm","MaxMeshmm","Depth1m","Depth2m","AvgDepthm","BottomTempC","SurfaceTempC","Comments"
"OMNR_LOA_IA25_NSA_1","Ontario","OMNR","48",43.9404333333333,-76.9026166666667,NA,NA,2025,9,4,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.7,0.8,NA,18.12,"Lat on datasheet 4356246"
"OMNR_LOA_IA25_NSA_10","Ontario","OMNR","30",43.9248666666667,-77.0449166666667,NA,NA,2025,9,9,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.9,1,NA,17.28,NA
"OMNR_LOA_IA25_NSA_11","Ontario","OMNR","35",43.9263,-77.0236333333333,NA,NA,2025,9,10,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2,1.2,NA,17.4,NA
"OMNR_LOA_IA25_NSA_12","Ontario","OMNR","26",43.9513,-77.0378,NA,NA,2025,9,10,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.8,1.3,NA,17.88,NA
"OMNR_LOA_IA25_NSA_13","Ontario","OMNR","22",43.9678,-77.01185,NA,NA,2025,9,10,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2,1.1,NA,18.9,NA
"OMNR_LOA_IA25_NSA_14","Ontario","OMNR","18",43.9814666666667,-76.9883333333333,NA,NA,2025,9,11,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2.5,1.2,NA,18.5,NA
"OMNR_LOA_IA25_NSA_15","Ontario","OMNR","12",43.9900833333333,-76.9888666666667,NA,NA,2025,9,11,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2.1,1.7,NA,18.3,"error pike under 700 mm were not supposed to be taken"
"OMNR_LOA_IA25_NSA_16","Ontario","OMNR","21",43.97155,-77.0042,NA,NA,2025,9,11,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.8,0.9,NA,18.5,"ROLLERS FROM NE WIND"
"OMNR_LOA_IA25_NSA_17","Ontario","OMNR","17",43.9775,-76.9786833333333,NA,NA,2025,9,15,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.9,1,NA,18.3,NA
"OMNR_LOA_IA25_NSA_18","Ontario","OMNR","8",43.9998666666667,-76.9927333333333,NA,NA,2025,9,15,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2.2,1.7,NA,19.8,NA
"OMNR_LOA_IA25_NSA_19","Ontario","OMNR","4",44.0045,-76.9818333333333,NA,NA,2025,9,15,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2.9,1.9,NA,19.39,NA
"OMNR_LOA_IA25_NSA_2","Ontario","OMNR","45",43.9324333333333,-76.9252333333333,NA,NA,2025,9,4,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,3.3,1.5,NA,17.77,NA
"OMNR_LOA_IA25_NSA_20","Ontario","OMNR","10",43.9988333333333,-77.0079666666667,NA,NA,2025,9,15,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.9,1.3,NA,20.4,NA
"OMNR_LOA_IA25_NSA_21","Ontario","OMNR","23",43.9669166666667,-77.0181166666667,NA,NA,2025,9,16,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.9,0.6,NA,18.9,NA
"OMNR_LOA_IA25_NSA_22","Ontario","OMNR","12",43.98855,-76.9896333333333,NA,NA,2025,9,16,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,1.9,0.4,NA,19.39,NA
"OMNR_LOA_IA25_NSA_23","Ontario","OMNR","13",43.9878,-77.0002833333333,NA,NA,2025,9,16,"Fish Community Assessment","Nearshore Community Index Netting Program","Trapnet",NA,NA,NA,NA,0,2.1,1.1,NA,20.2,NA
