"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","CWTAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_LOA_SC25_TC2_1007_076_1","OMNR_LOA_SC25_TC2_1007","Ontario","OMNR","Rainbow trout",76,"",NA,700,3923,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1011_076_1","OMNR_LOA_SC25_TC2_1011","Ontario","OMNR","Rainbow trout",76,"",NA,730,3960,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1031_076_1","OMNR_LOA_SC25_TC2_1031","Ontario","OMNR","Rainbow trout",76,"",NA,631,2370,"D","","2",NA,NA,"3","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1058_076_1","OMNR_LOA_SC25_TC2_1058","Ontario","OMNR","Rainbow trout",76,"",NA,761,4250,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1081_075_1","OMNR_LOA_SC25_TC2_1081","Ontario","OMNR","Chinook salmon",75,"",NA,1010,8250,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1092_076_1","OMNR_LOA_SC25_TC2_1092","Ontario","OMNR","Rainbow trout",76,"",NA,641,3070,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1097_076_1","OMNR_LOA_SC25_TC2_1097","Ontario","OMNR","Rainbow trout",76,"",NA,571,1660,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_111_076_2","OMNR_LOA_SC25_TC2_111","Ontario","OMNR","Rainbow trout",76,"",NA,610,2410,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_111_076_3","OMNR_LOA_SC25_TC2_111","Ontario","OMNR","Rainbow trout",76,"",NA,631,2630,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1140_076_1","OMNR_LOA_SC25_TC2_1140","Ontario","OMNR","Rainbow trout",76,"",NA,749,4510,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1226_076_1","OMNR_LOA_SC25_TC2_1226","Ontario","OMNR","Rainbow trout",76,"",NA,625,2840,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_1257_078_1","OMNR_LOA_SC25_TC2_1257","Ontario","OMNR","Brown trout",78,"",NA,609,3080,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_142_076_1","OMNR_LOA_SC25_TC2_142","Ontario","OMNR","Rainbow trout",76,"",NA,644,2270,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_142_076_2","OMNR_LOA_SC25_TC2_142","Ontario","OMNR","Rainbow trout",76,"",NA,635,2400,"D","","2",NA,NA,"0","",1,0,1,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_153_076_1","OMNR_LOA_SC25_TC2_153","Ontario","OMNR","Rainbow trout",76,"",NA,665,2400,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_195_076_1","OMNR_LOA_SC25_TC2_195","Ontario","OMNR","Rainbow trout",76,"",NA,754,3710,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,1
"OMNR_LOA_SC25_TC2_2_076_1","OMNR_LOA_SC25_TC2_2","Ontario","OMNR","Rainbow trout",76,"",NA,680,3860,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_211_076_1","OMNR_LOA_SC25_TC2_211","Ontario","OMNR","Rainbow trout",76,"",NA,673,2990,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_22_073_1","OMNR_LOA_SC25_TC2_22","Ontario","OMNR","Coho salmon",73,"",NA,750,3420,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_312_076_1","OMNR_LOA_SC25_TC2_312","Ontario","OMNR","Rainbow trout",76,"",NA,595,2210,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_531_076_1","OMNR_LOA_SC25_TC2_531","Ontario","OMNR","Rainbow trout",76,"",NA,689,2750,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,0
"OMNR_LOA_SC25_TC2_64_076_1","OMNR_LOA_SC25_TC2_64","Ontario","OMNR","Rainbow trout",76,"",NA,708,3830,"D","","2",NA,NA,"0","",0,0,0,0,0,0,0,0,1
