"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","CWTAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_SLR_IA25_LSF_1_316_1","OMNR_SLR_IA25_LSF_1","Ontario","OMNR","Smallmouth bass",316,"",51,171,75.2,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_131_1","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Northern pike",131,"",51,272,146.68,"D","","28D","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_317_1","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Largemouth bass",317,"",38,132,36.71,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_317_2","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Largemouth bass",317,"",38,126,32.18,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_317_3","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Largemouth bass",317,"",38,125,29.46,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_317_4","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Largemouth bass",317,"",38,130,28.5,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_317_5","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Largemouth bass",317,"",51,122,27.02,"D","","2","F","9",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_10_334_1","OMNR_SLR_IA25_LSF_10","Ontario","OMNR","Walleye",334,"",152,665,3257.62,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_11_316_1","OMNR_SLR_IA25_LSF_11","Ontario","OMNR","Smallmouth bass",316,"",64,196,138.28,"D","","2A","M","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_11_316_2","OMNR_SLR_IA25_LSF_11","Ontario","OMNR","Smallmouth bass",316,"",76,327,NA,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_11_316_3","OMNR_SLR_IA25_LSF_11","Ontario","OMNR","Smallmouth bass",316,"",152,461,1911.09,"D","","2A","M","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_11_334_1","OMNR_SLR_IA25_LSF_11","Ontario","OMNR","Walleye",334,"",64,322,348.74,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_13_131_1","OMNR_SLR_IA25_LSF_13","Ontario","OMNR","Northern pike",131,"",64,290,167.63,"D","","28D","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_13_317_1","OMNR_SLR_IA25_LSF_13","Ontario","OMNR","Largemouth bass",317,"",51,133,33.88,"D","","2","F","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_13_334_1","OMNR_SLR_IA25_LSF_13","Ontario","OMNR","Walleye",334,"",127,537,1660.84,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_14_334_1","OMNR_SLR_IA25_LSF_14","Ontario","OMNR","Walleye",334,"",38,332,348.05,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_14_334_2","OMNR_SLR_IA25_LSF_14","Ontario","OMNR","Walleye",334,"",38,310,260.25,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_14_334_3","OMNR_SLR_IA25_LSF_14","Ontario","OMNR","Walleye",334,"",76,346,356.14,"D","","2A","F","9","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_15_316_1","OMNR_SLR_IA25_LSF_15","Ontario","OMNR","Smallmouth bass",316,"",102,314,551.14,"D","","2A","M","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_15_334_1","OMNR_SLR_IA25_LSF_15","Ontario","OMNR","Walleye",334,"",64,319,270.96,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_16_334_1","OMNR_SLR_IA25_LSF_16","Ontario","OMNR","Walleye",334,"",51,259,159.41,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_16_334_2","OMNR_SLR_IA25_LSF_16","Ontario","OMNR","Walleye",334,"",51,255,140.1,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_16_334_3","OMNR_SLR_IA25_LSF_16","Ontario","OMNR","Walleye",334,"",64,299,261.16,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_131_1","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Northern pike",131,"",102,810,3043.95,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_1","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",38,266,163.85,"D","","2A","F","9","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_2","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",51,307,286.98,"D","","2A","F","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_3","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",64,309,261.34,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_4","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",64,301,261.99,"D","","2A","M","1","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_5","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",64,294,238.83,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_17_334_6","OMNR_SLR_IA25_LSF_17","Ontario","OMNR","Walleye",334,"",64,295,232.98,"D","","2A","M","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_18_131_1","OMNR_SLR_IA25_LSF_18","Ontario","OMNR","Northern pike",131,"",127,795,3033.95,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_18_317_1","OMNR_SLR_IA25_LSF_18","Ontario","OMNR","Largemouth bass",317,"",89,264,345.18,"D","","2","M","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_19_316_1","OMNR_SLR_IA25_LSF_19","Ontario","OMNR","Smallmouth bass",316,"",102,351,740.19,"D","","2A","M","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_19_334_1","OMNR_SLR_IA25_LSF_19","Ontario","OMNR","Walleye",334,"",64,292,251.23,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_2_317_1","OMNR_SLR_IA25_LSF_2","Ontario","OMNR","Largemouth bass",317,"",38,132,34.23,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_2_317_2","OMNR_SLR_IA25_LSF_2","Ontario","OMNR","Largemouth bass",317,"",38,166,61.21,"D","","2","M","1",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_2_334_1","OMNR_SLR_IA25_LSF_2","Ontario","OMNR","Walleye",334,"",127,582,1954.79,"D","","2A","F","2","0",NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_20_131_1","OMNR_SLR_IA25_LSF_20","Ontario","OMNR","Northern pike",131,"",102,684,1870.56,"D","","28D","F","2",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_SLR_IA25_LSF_20_317_1","OMNR_SLR_IA25_LSF_20","Ontario","OMNR","Largemouth bass",317,"",152,443,1798.94,"D","","2","F","2",NA,NA,0,0,0,0,0,0,0,0,0
