"FishID","LiftID","Lake","Agency","SpeciesName","SpeciesNumber","SpeciesAbbrev","MeshSizemm","Length(mm)","Weight(g)","R/D","Age","AgeStructure","SexAgency","MaturityAgency","FinClipAgency","A1-A3","A1","A2","A3","A4","B1","B2","B3","B4"
"OMNR_LOA_IA25_TW4_1_091_28","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake whitefish",91,"",1,281,125,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_091_29","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake whitefish",91,"",1,228,65.2,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_091_30","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake whitefish",91,"",1,128,12.75,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_091_31","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake whitefish",91,"",1,119,8.45,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_093_23","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake herring",93,"",1,401,500,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_093_24","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake herring",93,"",1,381,456,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_093_25","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake herring",93,"",1,404,518,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_093_26","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake herring",93,"",1,347,344,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_1_093_27","OMNR_LOA_IA25_TW4_1","Ontario","OMNR","Lake herring",93,"",1,300,188,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_30_094_5","OMNR_LOA_IA25_TW4_30","Ontario","OMNR","Bloater",94,"",1,243,111.85,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_41_091_2","OMNR_LOA_IA25_TW4_41","Ontario","OMNR","Lake whitefish",91,"",1,135,13.55,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_41_091_3","OMNR_LOA_IA25_TW4_41","Ontario","OMNR","Lake whitefish",91,"",1,172,27.9,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_41_091_4","OMNR_LOA_IA25_TW4_41","Ontario","OMNR","Lake whitefish",91,"",1,182,31.9,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_41_091_5","OMNR_LOA_IA25_TW4_41","Ontario","OMNR","Lake whitefish",91,"",1,313,185,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_41_093_1","OMNR_LOA_IA25_TW4_41","Ontario","OMNR","Lake herring",93,"",1,137,14.65,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_091_10","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake whitefish",91,"",1,251,87.5,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_093_11","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake herring",93,"",1,169,29.1,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_093_12","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake herring",93,"",1,149,19.55,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_093_13","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake herring",93,"",1,146,18.5,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_093_14","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake herring",93,"",1,143,18.1,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_42_093_15","OMNR_LOA_IA25_TW4_42","Ontario","OMNR","Lake herring",93,"",1,125,10.45,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_43_093_2","OMNR_LOA_IA25_TW4_43","Ontario","OMNR","Lake herring",93,"",1,313,204,"D","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_46_091_30","OMNR_LOA_IA25_TW4_46","Ontario","OMNR","Lake whitefish",91,"",1,335,234.6,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_46_091_31","OMNR_LOA_IA25_TW4_46","Ontario","OMNR","Lake whitefish",91,"",1,289,164.9,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_46_091_32","OMNR_LOA_IA25_TW4_46","Ontario","OMNR","Lake whitefish",91,"",1,315,218.4,"D","","A","F",NA,NA,0,0,0,0,0,0,0,0,0
"OMNR_LOA_IA25_TW4_46_091_33","OMNR_LOA_IA25_TW4_46","Ontario","OMNR","Lake whitefish",91,"",1,247,82.8,"D","","A","M",NA,NA,0,0,0,0,0,0,0,0,0
